Actor1Geo_CountryCode,MonthYear,NumMentions,goldstein * num_mentions,avgtone * num_mentions,avg_goldstein,avg_avgtone
AE,201705.0,73916.0,107106.0,23181.924721805473,1.4490232155419664,0.3136252600493191
AF,201705.0,237120.0,-331068.8,-978934.8860983211,-1.3962078272604588,-4.128436597918021
AL,201705.0,23071.0,12505.099999999999,-57442.17039377698,0.5420267868752979,-2.489799765670191
AR,201705.0,27743.0,29108.4,-40456.27023333434,1.0492160184551058,-1.4582514592269884
AS,201705.0,793446.0,659511.9,-870717.0604256358,0.831199476712971,-1.0973866657915419
BA,201705.0,39112.0,-11227.599999999997,-117939.15104807561,-0.28706279402740836,-3.0154211251809064
BE,201705.0,128011.0,191051.40000000002,-165030.16691881287,1.4924608041496437,-1.2891873895119395
BR,201705.0,107863.0,-4025.100000000004,-317304.77730546653,-0.03731678147279423,-2.9417388474775086
CA,201705.0,615131.0,747100.3,-514259.04406587774,1.214538529191343,-0.8360154894906576
CB,201705.0,47493.0,23362.199999999997,-83594.24923417332,0.4919082812203903,-1.760138320050814
CH,201705.0,690021.0,934288.7,-484928.3228377391,1.3540003854955138,-0.7027732820272703
CO,201705.0,52780.0,30021.4,-126813.63243360868,0.5688025767336112,-2.402683448912631
CU,201705.0,46435.0,65941.5,-22779.969744469283,1.4200818348228708,-0.4905775760626528
DJ,201705.0,6643.0,10602.7,-427.4612339203893,1.596071052235436,-0.06434761913599116
EG,201705.0,167127.0,-131753.5,-638977.0404454378,-0.7883435949906359,-3.823302281770377
EI,201705.0,193843.0,183750.6,-182932.80986757693,0.9479351846597505,-0.9437163574004578
FR,201705.0,424475.0,329251.89999999997,-559961.2817384831,0.7756685317156486,-1.3191855391683447
GH,201705.0,156847.0,144427.0,-131394.38580029947,0.920814551760633,-0.8377232959527403
GM,201705.0,324235.0,321613.89999999997,-577478.5985897868,0.9919160485450367,-1.7810495430468234
GQ,201705.0,12461.0,10729.6,-22333.980127374398,0.8610544900088276,-1.7923104186962842
GR,201705.0,91389.0,74717.8,-191673.93604930467,0.8175797962555669,-2.09734143112743
GT,201705.0,13896.0,-5979.9,-46858.28434006302,-0.43033246977547496,-3.3720699726585366
GV,201705.0,9931.0,13841.999999999998,-10650.730316558353,1.3938173396435403,-1.072473096018362
GY,201705.0,20344.0,23838.6,-28279.98135420207,1.1717754620526937,-1.3900895278314034
HA,201705.0,23294.0,45319.3,-13541.937273694408,1.9455353309865202,-0.5813487281572254
HK,201705.0,32220.0,28749.999999999996,-33564.53946197444,0.8923029174425822,-1.0417299646795295
HR,201705.0,12917.0,16243.399999999998,-9195.928271336395,1.2575210962297745,-0.7119244616657425
ID,201705.0,145741.0,-13146.5,-424355.06223954743,-0.09020454093220165,-2.911706810297359
IN,201705.0,1028198.0,88732.9,-2429529.9747420163,0.08629942870925639,-2.362900895296447
IR,201705.0,260742.0,133755.4,-690405.5510320407,0.5129798804948953,-2.6478494106512978
IS,201705.0,498989.0,105485.20000000001,-1216325.0947458937,0.21139784644551285,-2.4375789741775744
IT,201705.0,217858.0,334641.30000000005,-237553.1389848466,1.5360523827447239,-1.0904035609656133
IZ,201705.0,183912.0,-313003.79999999993,-734008.2958355816,-1.701921571186219,-3.991084300293519
JA,201705.0,224894.0,290455.7,-148161.29147813824,1.291522672903679,-0.6588049991468792
JE,201705.0,27720.0,18733.3,-49873.07977114768,0.6758044733044732,-1.7991731519173044
KE,201705.0,137463.0,58625.7,-246237.12305131883,0.4264834901027913,-1.7912974622357931
KN,201705.0,200495.0,-116331.6,-597973.4528853938,-0.5802219506720866,-2.9824856125359425
KS,201705.0,183126.0,77418.00000000001,-336681.51778794447,0.42275810097965344,-1.8385238458107775
KU,201705.0,22943.0,34642.5,-23184.46262931742,1.5099376716209738,-1.0105244575390062
LE,201705.0,52970.0,-6721.400000000001,-139542.0185276289,-0.12689069284500662,-2.634359420948252
LI,201705.0,34342.0,49179.2,-310.80356781487126,1.4320423970648184,-0.009050246573142835
LY,201705.0,87264.0,-67272.50000000001,-417758.9236133797,-0.7709078199486618,-4.787299729709614
MT,201705.0,36832.0,40349.5,-42451.94969581014,1.0955011946133797,-1.1525833431746888
MX,201705.0,178096.0,-10123.900000000001,-445161.5170832692,-0.056845184619531045,-2.4995593224062818
MY,201705.0,139201.0,91276.5,-222599.95689156328,0.6557172721460335,-1.5991261333723412
NG,201705.0,14303.0,6337.099999999999,-37201.16572904431,0.44306089631545825,-2.6009344703240096
NI,201705.0,589378.0,283859.20000000007,-1155874.1281126584,0.48162503520660777,-1.961176236833846
NZ,201705.0,119737.0,191482.49999999994,-21452.749797265536,1.5991923966693666,-0.17916558622034573
OS,201705.0,8935.0,8313.2,-11646.820298475743,0.9304085058757695,-1.3035053495775872
PE,201705.0,36695.0,44882.399999999994,-91188.6521502293,1.2231203161193622,-2.485042979976272
PL,201705.0,60887.0,48796.6,-100484.59486436468,0.8014288764432473,-1.650345638056805
PM,201705.0,28890.0,10361.000000000002,-83593.299370504,0.3586362062997578,-2.893502920405123
QA,201705.0,52087.0,84934.5,-3521.7736423563756,1.6306276038166914,-0.06761329395734782
