,GlobalEventID,Day,MonthYear,GoldsteinScale,NumMentions,NumSources,NumArticles,AvgTone,Actor1Geo_Lat,Actor1Geo_Long,Actor1Geo_CountryCode,Actor1Geo_Fullname,goldstein * num_mentions,avgtone * num_mentions
10,752093918,20180501.0,201805.0,3.4,6.0,1.0,6.0,-2.22222222222222,15.8334,120.37799999999999,RP,"Malaca, Pangasinan, Philippines",20.4,-13.333333333333321
88,752101385,20180501.0,201805.0,-5.0,1.0,1.0,1.0,-9.576837416481029,13.0,122.0,RP,Philippines,-5.0,-9.576837416481029
104,752103916,20180424.0,201804.0,-2.0,8.0,1.0,8.0,-4.44444444444445,14.6042,120.98200000000001,RP,"Manila, Manila, Philippines",-16.0,-35.5555555555556
174,752114868,20180501.0,201805.0,3.4,4.0,1.0,4.0,-3.2051282051282,18.0557,121.641,RP,"Gattaran, Cagayan, Philippines",13.6,-12.8205128205128
463,752154136,20180501.0,201805.0,-10.0,2.0,1.0,2.0,-1.9108280254777101,16.45,120.55,RP,"Philippine, Benguet, Philippines",-20.0,-3.8216560509554203
625,752178023,20180501.0,201805.0,0.0,8.0,1.0,8.0,-2.75482093663912,14.6042,120.98200000000001,RP,"Manila, Manila, Philippines",0.0,-22.03856749311296
670,752186123,20180501.0,201805.0,3.5,3.0,1.0,3.0,1.79028132992327,14.6042,120.98200000000001,RP,"Manila, Manila, Philippines",10.5,5.370843989769809
673,752183563,20180501.0,201805.0,0.0,33.0,5.0,33.0,-2.09058998756423,14.6042,120.98200000000001,RP,"Manila, Manila, Philippines",0.0,-68.9894695896196
1137,752253343,20180501.0,201805.0,-6.5,4.0,1.0,2.0,1.31578947368421,14.6042,120.98200000000001,RP,"Manila, Manila, Philippines",-26.0,5.26315789473684
1145,752256379,20180501.0,201805.0,7.0,5.0,1.0,5.0,0.7504690431519699,15.8334,120.37799999999999,RP,"Malaca, Pangasinan, Philippines",35.0,3.75234521575985
1155,752256362,20180501.0,201805.0,0.0,2.0,1.0,2.0,0.7504690431519699,15.8334,120.37799999999999,RP,"Malaca, Pangasinan, Philippines",0.0,1.5009380863039399
1388,752292340,20180501.0,201805.0,-5.0,1.0,1.0,1.0,-2.3404255319149,14.6042,120.98200000000001,RP,"Manila, Manila, Philippines",-5.0,-2.3404255319149
1426,752295627,20180501.0,201805.0,3.5,4.0,1.0,4.0,0.50761421319797,16.45,120.55,RP,"Philippine, Benguet, Philippines",14.0,2.03045685279188
1647,752330926,20180501.0,201805.0,3.0,2.0,1.0,2.0,1.7580144777662803,14.6042,120.98200000000001,RP,"Manila, Manila, Philippines",6.0,3.5160289555325606
1653,752330865,20180501.0,201805.0,-2.0,1.0,1.0,1.0,-6.691449814126401,13.6667,123.333,RP,"Camarines Sur, Camarines Sur, Philippines",-2.0,-6.691449814126401
1775,752349699,20180501.0,201805.0,-9.0,4.0,1.0,4.0,-7.290015847860531,14.6042,120.98200000000001,RP,"Manila, Manila, Philippines",-36.0,-29.160063391442122
1792,752351351,20180501.0,201805.0,8.3,2.0,1.0,2.0,-4.27807486631016,15.8596,120.24799999999999,RP,"Ninoy, Pangasinan, Philippines",16.6,-8.55614973262032
