GlobalEventID,Day,MonthYear,GoldsteinScale,NumMentions,NumSources,NumArticles,AvgTone,Actor1Geo_Lat,Actor1Geo_Long,Actor1Geo_CountryCode,Actor1Geo_Fullname,goldstein * num_mentions,avgtone * num_mentions
719024878,20171202.0,201712.0,-5.0,2.0,1.0,2.0,-9.765625,-37.7833,144.933,AS,"Brunswick West, Victoria, Australia",-10.0,-19.53125
719024879,20171202.0,201712.0,-5.0,5.0,1.0,5.0,-9.765625,-37.8167,144.967,AS,"Melbourne, Victoria, Australia",-25.0,-48.828125
719024882,20171225.0,201712.0,-8.0,2.0,1.0,2.0,-3.2258064516129,60.0,100.0,RS,Russia,-16.0,-6.4516129032258
719025136,20180101.0,201801.0,-10.0,10.0,1.0,10.0,-11.2582781456954,34.5167,69.1833,AF,"Kabul, Kabol, Afghanistan",-100.0,-112.582781456954
719025137,20180101.0,201801.0,-10.0,8.0,1.0,8.0,-3.68421052631579,33.0,66.0,AF,Afghanistan,-80.0,-29.47368421052632
719025138,20180101.0,201801.0,-10.0,2.0,1.0,2.0,-3.68421052631579,39.828175,-98.5795,US,United States,-20.0,-7.36842105263158
719025147,20180101.0,201801.0,10.0,2.0,1.0,2.0,-2.00573065902578,25.2632,55.3146,AE,"Etisalat, Dubayy, United Arab Emirates",20.0,-4.01146131805156
719025148,20180101.0,201801.0,10.0,8.0,1.0,8.0,-2.00573065902578,10.0,8.0,NI,Nigeria,80.0,-16.04584527220624
719025169,20180101.0,201801.0,7.0,3.0,1.0,3.0,1.7467248908297,41.1312,-74.3674,US,"West Milford, New Jersey, United States",21.0,5.2401746724891
719025170,20180101.0,201801.0,10.0,10.0,1.0,10.0,-1.83333333333333,-37.8167,144.967,AS,"Melbourne, Victoria, Australia",100.0,-18.3333333333333
719025174,20180101.0,201801.0,-9.2,2.0,1.0,2.0,-2.21684804514309,-31.9333,115.833,AS,"Perth, Western Australia, Australia",-18.4,-4.43369609028618
719025175,20180101.0,201801.0,-10.0,4.0,1.0,4.0,-2.21684804514309,-31.9333,115.833,AS,"Perth, Western Australia, Australia",-40.0,-8.86739218057236
719025186,20180101.0,201801.0,-5.0,4.0,1.0,4.0,-2.54582484725051,-25.0,135.0,AS,Australia,-20.0,-10.18329938900204
719025187,20180101.0,201801.0,-9.5,4.0,2.0,4.0,3.24641796824578,-28.642,153.612,AS,"Byron Bay, New South Wales, Australia",-38.0,12.98567187298312
